"Employee Name",Department_ID,COMMISSION_PCT,Appropriately
"Donald OConnell",50,100,Commission
"Douglas Grant",50,,Commission
"Jennifer Whalen",10,,Commission
"Michael Hartstein",20,2000,Commission
"Pat Fay",20,,Commission
"Susan Mavris",40,5000,Commission
"Hermann Baer",70,3000,Commission
"Shelley Higgins",110,2000,Commission
"William Gietz",110,,Commission
"Neena Kochhar",90,,Commission
"Lex De Haan",90,5000,Commission
"Alexander Hunold",60,10000,Commission
"Bruce Ernst",60,,Commission
"David Austin",60,12000,Commission
"Valli Pataballa",60,,Commission
"Diana Lorentz",60,,Commission
"Nancy Greenberg",100,5000,Commission
"Daniel Faviet",100,,Commission
"John Chen",100,3000,Commission
"Ismael Sciarra",100,,Commission
"Jose Manuel Urman",100,,Commission
"Luis Popp",100,,Commission
"Den Raphaely",30,,Commission
"Alexander Khoo",30,,Commission
"Shelli Baida",30,,Commission
"Sigal Tobias",30,1000,Commission
"Guy Himuro",30,,Commission
"Karen Colmenares",30,,Commission
"Matthew Weiss",50,,Commission
"Adam Fripp",50,500,Commission
"Payam Kaufling",50,,Commission
"Shanta Vollman",50,,Commission
"Kevin Mourgos",50,,Commission
"Julia Nayer",50,,Commission
"Irene Mikkilineni",50,,Commission
"James Landry",50,,Commission
"Steven Markle",50,,Commission
"Laura Bissot",50,200,Commission
"Mozhe Atkinson",50,,Commission
"James Marlow",50,,Commission
"TJ Olson",50,,Commission
"Jason Mallin",50,,Commission
"Michael Rogers",50,,Commission
"Ki Gee",50,,Commission
"Hazel Philtanker",50,,Commission
"Renske Ladwig",50,,Commission
"Stephen Stiles",50,,Commission
"John Seo",50,20000,Commission
"Joshua Patel",50,,Commission
"Doglas Desai",100,,Commission
"Bhana Nanavati",10,2000,Commission
"Jonas Vohra",20,5000,Commission
