Last_Name,Increment
OConnell,4100.115
Grant,4100.115
Whalen,5900.115
Hartstein,13000.10
Fay,7500.115
Mavris,8000.115
Baer,11500.115
Higgins,12008.10
Gietz,9800.115
Kochhar,17000.10
"De Haan",17000.10
Hunold,10500.115
Ernst,7500.115
Austin,6300.115
Pataballa,6300.115
Lorentz,5700.115
Greenberg,12008.10
Faviet,10500.115
Chen,9700.115
Sciarra,9200.115
Urman,9300.115
Popp,8400.115
Raphaely,11000.10
Khoo,4600.115
Baida,4400.115
Tobias,4300.115
Himuro,4100.115
Colmenares,4000.115
Weiss,9500.115
Fripp,9700.115
Kaufling,9400.115
Vollman,8000.115
Mourgos,7300.115
Nayer,4700.115
Mikkilineni,4200.115
Landry,3900.115
Markle,3700.115
Bissot,4800.115
Atkinson,4300.115
Marlow,4000.115
Olson,3600.115
Mallin,4800.115
Rogers,4400.115
Gee,3900.115
Philtanker,3700.115
Ladwig,5100.115
Stiles,4700.115
Seo,4200.115
Patel,4000.115
Desai,4500.115
Nanavati,5000.115
Vohra,5500.115
