Last_Name,SALARY
OConnell,$$$$$$$$$$$2600
Grant,$$$$$$$$$$$2600
Whalen,$$$$$$$$$$$4400
Hartstein,$$$$$$$$$$13000
Fay,$$$$$$$$$$$6000
Mavris,$$$$$$$$$$$6500
Baer,$$$$$$$$$$10000
Higgins,$$$$$$$$$$12008
Gietz,$$$$$$$$$$$8300
Kochhar,$$$$$$$$$$17000
"De Haan",$$$$$$$$$$17000
Hunold,$$$$$$$$$$$9000
Ernst,$$$$$$$$$$$6000
Austin,$$$$$$$$$$$4800
Pataballa,$$$$$$$$$$$4800
Lorentz,$$$$$$$$$$$4200
Greenberg,$$$$$$$$$$12008
Faviet,$$$$$$$$$$$9000
Chen,$$$$$$$$$$$8200
Sciarra,$$$$$$$$$$$7700
Urman,$$$$$$$$$$$7800
Popp,$$$$$$$$$$$6900
Raphaely,$$$$$$$$$$11000
Khoo,$$$$$$$$$$$3100
Baida,$$$$$$$$$$$2900
Tobias,$$$$$$$$$$$2800
Himuro,$$$$$$$$$$$2600
Colmenares,$$$$$$$$$$$2500
Weiss,$$$$$$$$$$$8000
Fripp,$$$$$$$$$$$8200
Kaufling,$$$$$$$$$$$7900
Vollman,$$$$$$$$$$$6500
Mourgos,$$$$$$$$$$$5800
Nayer,$$$$$$$$$$$3200
Mikkilineni,$$$$$$$$$$$2700
Landry,$$$$$$$$$$$2400
Markle,$$$$$$$$$$$2200
Bissot,$$$$$$$$$$$3300
Atkinson,$$$$$$$$$$$2800
Marlow,$$$$$$$$$$$2500
Olson,$$$$$$$$$$$2100
Mallin,$$$$$$$$$$$3300
Rogers,$$$$$$$$$$$2900
Gee,$$$$$$$$$$$2400
Philtanker,$$$$$$$$$$$2200
Ladwig,$$$$$$$$$$$3600
Stiles,$$$$$$$$$$$3200
Seo,$$$$$$$$$$$2700
Patel,$$$$$$$$$$$2500
Desai,$$$$$$$$$$$3000
Nanavati,$$$$$$$$$$$3500
Vohra,$$$$$$$$$$$4000
