Last_Name,Department_ID,DEPARTMENT_NAME
OConnell,50,Statistics
Grant,50,Statistics
Whalen,10,Statistics
Hartstein,20,"MySQL "
Fay,20,"MySQL "
Mavris,40,"MySQL "
Baer,70,"MySQL "
Higgins,110,"MySQL "
Gietz,110,"Data Analytics"
Kochhar,90,"Data Analytics"
"De Haan",90,"Data Analytics"
Hunold,60,"Data Analytics"
Ernst,60,"Data Analytics"
Austin,60,Python
Pataballa,60,Python
Lorentz,60,Python
Greenberg,100,Python
Faviet,100,Python
Chen,100,Python
Sciarra,100,Excel
Urman,100,Excel
Popp,100,Excel
Raphaely,30,Excel
Khoo,30,Excel
Baida,30,Excel
Tobias,30,Excel
Himuro,30,Excel
Colmenares,30,Excel
Weiss,50,Excel
Fripp,50,Excel
Kaufling,50,Excel
Vollman,50,Excel
Mourgos,50,Excel
Nayer,50,Excel
Mikkilineni,50,Excel
Landry,50,Excel
Markle,50,Excel
Bissot,50,Excel
Atkinson,50,Excel
Marlow,50,Excel
Olson,50,Excel
Mallin,50,Excel
Rogers,50,Php
Gee,50,Java
Philtanker,50,Java
Ladwig,50,"JavaScript "
Stiles,50,"tableau "
Seo,50,"Data Science "
Patel,50,"Data Science "
Desai,100,"Data Science "
Nanavati,10,"Data Science "
Vohra,20,"Data Science "
