EName,DEPARTMENT_ID
"Neena Kochhar",90
"Lex De Haan",90
"Michael Hartstein",20
"Shelley Higgins",110
"Nancy Greenberg",100
"Den Raphaely",30
"Hermann Baer",70
"Alexander Hunold",60
"Daniel Faviet",100
"William Gietz",110
"Adam Fripp",50
"John Chen",100
"Matthew Weiss",50
"Payam Kaufling",50
"Jose Manuel Urman",100
"Ismael Sciarra",100
"Luis Popp",100
"Susan Mavris",40
"Shanta Vollman",50
"Pat Fay",20
"Bruce Ernst",60
"Kevin Mourgos",50
"David Austin",60
"Valli Pataballa",60
"Jennifer Whalen",10
"Diana Lorentz",60
"Jonas Vohra",20
"Renske Ladwig",50
"Bhana Nanavati",10
"Laura Bissot",50
"Jason Mallin",50
"Julia Nayer",50
"Stephen Stiles",50
"Alexander Khoo",30
"Doglas Desai",100
"Shelli Baida",30
"Michael Rogers",50
"Sigal Tobias",30
"Mozhe Atkinson",50
"Irene Mikkilineni",50
"John Seo",50
"Douglas Grant",50
"Donald OConnell",50
"Guy Himuro",30
"Karen Colmenares",30
"Joshua Patel",50
"James Marlow",50
"James Landry",50
"Ki Gee",50
"Steven Markle",50
"Hazel Philtanker",50
"TJ Olson",50
