"Employee and Title"
"Donald , SH_CLERK"
"Douglas , SH_CLERK"
"Jennifer , AD_ASST"
"Michael , MK_MAN"
"Pat , MK_REP"
"Susan , HR_REP"
"Hermann , PR_REP"
"Shelley , AC_MGR"
"William , AC_ACCOUNT"
"Neena , AD_VP"
"Lex , AD_VP"
"Alexander , IT_PROG"
"Bruce , IT_PROG"
"David , IT_PROG"
"Valli , IT_PROG"
"Diana , IT_PROG"
"Nancy , FI_MGR"
"Daniel , FI_ACCOUNT"
"John , FI_ACCOUNT"
"Ismael , FI_ACCOUNT"
"Jose Manuel , FI_ACCOUNT"
"Luis , FI_ACCOUNT"
"Den , PU_MAN"
"Alexander , PU_CLERK"
"Shelli , PU_CLERK"
"Sigal , PU_CLERK"
"Guy , PU_CLERK"
"Karen , PU_CLERK"
"Matthew , ST_MAN"
"Adam , ST_MAN"
"Payam , ST_MAN"
"Shanta , ST_MAN"
"Kevin , ST_MAN"
"Julia , ST_CLERK"
"Irene , ST_CLERK"
"James , ST_CLERK"
"Steven , ST_CLERK"
"Laura , ST_CLERK"
"Mozhe , ST_CLERK"
"James , ST_CLERK"
"TJ , ST_CLERK"
"Jason , ST_CLERK"
"Michael , ST_CLERK"
"Ki , ST_CLERK"
"Hazel , ST_CLERK"
"Renske , ST_CLERK"
"Stephen , ST_CLERK"
"John , ST_CLERK"
"Joshua , ST_CLERK"
"Doglas , SL_RP"
"Bhana , SL_RP"
"Jonas , SL_RP"
