Name,Salary
"Neena Kochhar",17000
"Lex De Haan",17000
"Michael Hartstein",13000
"Shelley Higgins",12008
"Nancy Greenberg",12008
"Den Raphaely",11000
"Hermann Baer",10000
"Alexander Hunold",9000
"Daniel Faviet",9000
"William Gietz",8300
"Adam Fripp",8200
"John Chen",8200
"Matthew Weiss",8000
"Payam Kaufling",7900
"Jose Manuel Urman",7800
"Ismael Sciarra",7700
"Luis Popp",6900
"Susan Mavris",6500
"Shanta Vollman",6500
"Pat Fay",6000
"Bruce Ernst",6000
"Kevin Mourgos",5800
"David Austin",4800
"Valli Pataballa",4800
"Jennifer Whalen",4400
"Diana Lorentz",4200
"Jonas Vohra",4000
"Renske Ladwig",3600
"Bhana Nanavati",3500
"Laura Bissot",3300
"Jason Mallin",3300
"Julia Nayer",3200
"Stephen Stiles",3200
"Alexander Khoo",3100
"Doglas Desai",3000
"Shelli Baida",2900
"Michael Rogers",2900
"Sigal Tobias",2800
"Mozhe Atkinson",2800
"Irene Mikkilineni",2700
"John Seo",2700
"Douglas Grant",2600
"Donald OConnell",2600
"Guy Himuro",2600
"Karen Colmenares",2500
"Joshua Patel",2500
"James Marlow",2500
"James Landry",2400
"Ki Gee",2400
"Steven Markle",2200
"Hazel Philtanker",2200
"TJ Olson",2100
